Date,mean_gate,p90_gate,p99_gate,mean_eta_gate,mean_cost_mod_ratio,phase_eta,phase_low,phase_high,phase_W,w_res,w_dir,w_amp,phase_alpha,phase_gamma
2025-03-05,0.08841827072624119,0.20013567660873618,0.319489064403183,0.07957644365361707,0.0837646775291036,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-06,0.09434886062693923,0.2059869137721996,0.33628695125413033,0.0849139745642453,0.08938313111923293,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-07,0.09213623330337435,0.21193116269737233,0.33629449477435974,0.08292260997303692,0.08728695786533217,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-10,0.09238357870156344,0.2173854889788886,0.32591277354145476,0.0831452208314071,0.08752128508466776,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-11,0.08879269042473989,0.20363797844991693,0.3218609869176321,0.0799134213822659,0.08411939092767669,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-12,0.0878965660217525,0.19867183357555063,0.3211032172966439,0.07910690941957725,0.08327043096695305,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-13,0.09003813610120137,0.2010811277045882,0.3243408828104773,0.08103432249108124,0.08529928683169362,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-14,0.09080157279924855,0.19709768519277146,0.31973729723793926,0.0817214155193237,0.08602254265089673,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-17,0.09255459244265776,0.2052473760375365,0.3155714645825059,0.083299133198392,0.08768329810254694,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-18,0.08924187469305112,0.18792468405916385,0.27961507477022385,0.080317687223746,0.08454493391870815,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-19,0.08713349794942164,0.19531046521766066,0.28265806953047595,0.07842014815447948,0.08254752437211219,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-20,0.08597490568227852,0.18145583179080457,0.2814761230100792,0.07737741511405066,0.08144991064533506,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-21,0.08642772131970623,0.18805018635873363,0.3173543256253636,0.07778494918773561,0.0818788938807924,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-24,0.08936599459191351,0.20210804819142594,0.32146373474917234,0.08042939513272215,0.08466252119130943,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-25,0.09203126035536678,0.19030610099828385,0.3034536395696538,0.0828281343198301,0.08718750980931757,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-26,0.09495225801083641,0.19979919790023098,0.34607655225986006,0.08545703220975277,0.0899547707460813,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-27,0.09815587900391844,0.20628869482002368,0.33134004686195934,0.08834029110352659,0.09298978010794579,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-28,0.09736737252796444,0.21169391478285973,0.31104290735212525,0.087630635275168,0.09224277397283222,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-02,0.0965069579508971,0.19378695401833432,0.34033798097738416,0.0868562621558074,0.09142764437350406,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-03,0.0966170208660211,0.2048252594542672,0.33358358723832904,0.08695531877941899,0.09153191450361785,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-04,0.09580581670628799,0.209642356120361,0.3411458281104326,0.0862252350356592,0.09076340529965694,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-07,0.09548243779766934,0.20985380623986583,0.31337427705796006,0.08593419401790241,0.0904570463335978,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-08,0.09442333727345947,0.20976773612076896,0.32367135645404843,0.08498100354611353,0.08945368794223917,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-09,0.09775339928785985,0.19495485873039065,0.33641811793848964,0.08797805935907387,0.09260848353482774,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-10,0.10091151289828995,0.209252824376035,0.3545405307085108,0.09082036160846096,0.09560038063944919,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-11,0.09734635506291008,0.19971552685367275,0.332961595920627,0.08761171955661907,0.09222286269013862,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-14,0.09536837259118675,0.20153428269282123,0.35654971796572393,0.08583153533206807,0.09034898455903655,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-15,0.09534727090024457,0.1962946281604251,0.34185682431528036,0.08581254381022012,0.09032899348340738,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-16,0.09336507835715045,0.18595958830161669,0.37240799661838186,0.0840285705214354,0.08845112686363323,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-17,0.09427320301613616,0.20359134805199924,0.28776567574126305,0.08484588271452255,0.0893114554879373,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-18,0.0946884091994788,0.20068238074610614,0.3193560964060213,0.08521956827953092,0.08970480871426173,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-21,0.09536609147069922,0.20538027336461254,0.33315610453654365,0.0858294823236293,0.09034682349752912,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-22,0.0920023734941493,0.19441689023152686,0.3361447378196172,0.08280213614473438,0.08716014330921855,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
