Date,mean_gate,p90_gate,p99_gate,mean_eta_gate,mean_cost_mod_ratio,phase_eta,phase_low,phase_high,phase_W,w_res,w_dir,w_amp,phase_alpha,phase_gamma
2025-03-05,0.09955807677908071,0.23314556381833393,0.44558311137300016,0.08960226910117264,0.09955807677797222,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-06,0.10265668585357393,0.2401891316214662,0.4396951355038448,0.09239101726821654,0.10265668585243372,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-07,0.10210317625043004,0.24862279464175252,0.42514348711096406,0.09189285862538704,0.10210317624928528,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-10,0.1075807827263329,0.30389458329823066,0.4482593181512892,0.09682270445369962,0.10758078272519705,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-11,0.12007056086947554,0.31505705013960417,0.45073525971717654,0.10806350478252799,0.12007056086834772,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-12,0.10558218827406866,0.22878070364998548,0.3683127970175051,0.0950239694466618,0.10558218827294999,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-13,0.09718353155851327,0.21589945907163033,0.333968628339162,0.08746517840266194,0.09718353155738912,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-14,0.10997994718936038,0.2759268306820557,0.3247954640298219,0.09898195247042435,0.10997994718824397,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-17,0.10327266660261697,0.2543396853989609,0.3438087160721518,0.09294539994235528,0.10327266660150271,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-18,0.10708148230618247,0.2465788485939637,0.41718190552839274,0.09637333407556423,0.10708148230507505,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-19,0.10039780716368593,0.24543190415117605,0.41748651327930025,0.09035802644731734,0.10039780716256222,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-20,0.11605465270000645,0.2581974905076086,0.4451249981034795,0.10444918743000581,0.11605465269882936,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-21,0.10399205816295946,0.23432292538853028,0.401481709273391,0.09359285234666352,0.10399205816177835,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-24,0.116263847634619,0.28277114468764974,0.39232620952650576,0.1046374628711571,0.11626384763343427,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-25,0.10937734957164681,0.233720443786653,0.3417409635208371,0.09843961461448213,0.10937734957047952,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-26,0.10783415029944825,0.25338384740169834,0.33443257413164584,0.09705073526950342,0.10783415029829756,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-27,0.10605365170788542,0.23161797829205819,0.3808939728870833,0.09544828653709687,0.1060536517067347,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-03-28,0.10356388848409283,0.2593097756224007,0.4297266835314383,0.09320749963568355,0.1035638884829436,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-02,0.10976507830877096,0.26285965286530966,0.44487916664596977,0.09878857047789386,0.10976507830764332,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-03,0.10865864484695209,0.2591528868635451,0.3974996674598544,0.09779278036225689,0.10865864484583067,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-04,0.11472088184083455,0.29708585162195095,0.44506795038172864,0.1032487936567511,0.11472088183969746,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-07,0.10650612239657406,0.23303467073364278,0.42192921342337086,0.09585551015691665,0.10650612239542995,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-08,0.11392248169512363,0.30674415768212915,0.4377401324769988,0.10253023352561128,0.11392248169397987,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-09,0.10938179856276532,0.2549853386541848,0.36784902864964414,0.0984436187064888,0.10938179856162483,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-10,0.10777364914501736,0.2635274098759176,0.43466640017593255,0.09699628423051562,0.10777364914387713,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-11,0.11258434561835,0.2419870705409564,0.44637648835561616,0.101325911056515,0.11258434561720065,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-14,0.10205384449246369,0.23465806840856113,0.3738478147905449,0.09184846004321733,0.1020538444913215,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-15,0.11318946517223269,0.25284070141526344,0.4169688147440672,0.10187051865500943,0.11318946517109017,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-16,0.1040195031063438,0.2367789438657582,0.36704194912997634,0.09361755279570942,0.10401950310520487,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-17,0.10343556514941345,0.22656184723367254,0.4431749696289388,0.0930920086344721,0.10343556514828323,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-18,0.11019149397782957,0.23831455701404355,0.45460154072312664,0.09917234458004662,0.11019149397671145,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-21,0.10321557621858819,0.23415668553649566,0.4343274660253676,0.09289401859672937,0.10321557621750929,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-22,0.09888730617706941,0.2105180666974781,0.43772790040056336,0.08899857555936247,0.09888730617597499,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-24,0.09902268348567052,0.2112703872876159,0.44030465515826017,0.08912041513710346,0.09902268348458518,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-25,0.09542336476508473,0.19392935746920997,0.42232432265302333,0.08588102828857626,0.09542336476398142,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-28,0.10456842257348177,0.23479564261904642,0.4253100483316272,0.09411158031613359,0.10456842257237303,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-04-29,0.0976749427129765,0.21764177200839335,0.39397345945877754,0.08790744844167885,0.09767494271188075,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
