Ticker,RFS,RFS_Z
THYAO,2.2011509619089105e-18,6.528238038644688e-06
GARAN,-7.54810476626093e-18,-3.2207939946959063e-06
AKBNK,1.802992231622477e-17,2.2356646204794807e-05
ISCTR,-2.1078308615039556e-18,2.2193550840049975e-06
YKBNK,-5.428437682942697e-18,-1.1011755467381032e-06
ASELS,-8.083409608043017e-18,-3.7560865540096173e-06
EREGL,-2.628610457676346e-18,1.6985874370219697e-06
SISE,-8.832192325665399e-17,-8.399275914509683e-05
PETKM,-4.244147518455649e-18,8.308744443505189e-08
TUPRS,4.33254352839034e-17,4.76515787717114e-05
SAHOL,1.5850636658972206e-19,4.485640311419507e-06
KCHOL,-1.4539369079167044e-19,4.181747226967468e-06
BIMAS,-2.2886136926348713e-18,2.0385764009019586e-06
TTKOM,-8.115724669650817e-19,3.5155837361401113e-06
ARCLK,-1.328926452224539e-18,2.998241621470022e-06
FROTO,-2.659235558312902e-17,-2.2264607844829987e-05
VESTL,-1.2615552136956177e-19,4.2009849549734166e-06
TCELL,1.9343943831007346e-19,4.520572581607133e-06
HALKB,-1.6556553732588836e-19,4.161575843272455e-06
ENKAI,-6.321446581626006e-19,3.695007428005447e-06
